Coin,trades_count,total_pnl,mean_pnl,win_rate,avg_size_usd
HYPE,68005,1948484.599761,28.65207852012352,0.41499889713991617,2087.9377406073086
@107,29992,2783912.919016,92.82184979381168,0.46759135769538546,1859.1910719525208
BTC,26064,868044.732638,33.30435591766421,0.35082872928176795,24717.31570864027
ETH,11158,1319978.838852,118.29887424735615,0.3599211328195017,10600.555123678078
SOL,10691,1639555.927506,153.35851908203162,0.394630998035731,11699.06950332055
FARTCOIN,4650,-100687.213185,-21.653164125806452,0.32838709677419353,1787.3957849462367
MELANIA,4428,390351.069856,88.15516482746162,0.44399277326106595,1590.0430103884373
PURR/USDC,2774,75261.058019,27.130878882119685,0.35652487382840664,592.0759516943042
WLD,1983,22281.920156,11.236470073625819,0.3585476550680787,1408.3921482602118
SUI,1979,199268.834922,100.69168010207176,0.42395149065184434,3931.8684133400707
TRUMP,1920,-364824.908179,-190.01297300989583,0.3494791666666667,3827.7848645833337
XRP,1774,3756.901464999999,2.117757308342728,0.322435174746336,3011.9563303269447
kPEPE,1730,18676.997284,10.795952187283238,0.28497109826589595,1416.6474393063584
kBONK,1647,35551.245276,21.585455540983606,0.37340619307832423,1818.9317425622344
FTT,1560,6909.363767,4.429079337820513,0.34294871794871795,246.6380128205128
ONDO,1463,24570.824905,16.794822218045113,0.48462064251537934,1180.1654750512646
@142,1309,7450.359672,5.69164222459893,0.2077922077922078,1899.428013750955
PAXG,1265,-18688.874329,-14.773813698814228,0.16363636363636364,2408.96157312253
ZRO,1239,183777.783689,148.3275090306699,0.3672316384180791,979.6815334947538
PURR,1198,26766.355202,22.342533557595992,0.6811352253756261,917.0217863105177
PENDLE,1165,7712.609738,6.6202658695278975,0.4532188841201717,531.9830643776825
POPCAT,1152,-7922.181871,-6.876893985243055,0.14756944444444445,697.4451822916667
TAO,1082,16817.94047,15.543383059149724,0.5489833641404805,1565.439325323475
BERA,1054,73689.746587,69.91437057590133,0.5161290322580645,1951.3814041745732
JELLY,992,35193.716244,35.47753653629032,0.8094758064516129,2211.664627016129
ENA,990,217329.503554,219.52475106464647,0.31313131313131315,1641.8186868686869
PENGU,927,5217.341266,5.628199855447681,0.4110032362459547,1091.8543257820927
@4,885,-95.963977,-0.10843387231638418,0.10056497175141244,98.82169491525423
DOGE,826,147543.156534,178.6236761912833,0.48668280871670705,2968.6482566585955
AIXBT,819,73712.168895,90.00264822344322,0.5811965811965812,1555.128424908425
VINE,811,4777.252708,5.890570540073982,0.38964241676942046,834.4364364981503
ZEREBRO,769,21166.925278,27.52526043953186,0.8049414824447334,1716.5779583875162
TNSR,693,5106.264766,7.368347425685426,0.40115440115440115,600.0999278499279
APE,692,9731.40994,14.062731127167629,0.3338150289017341,947.2557369942197
ANIME,660,21317.258031,32.29887580454545,0.32575757575757575,894.3270151515151
JUP,644,42909.223316999996,66.62922875310558,0.4580745341614907,2324.4571428571426
USUAL,598,69631.943237,116.44137665050167,0.540133779264214,1609.0123244147157
W,592,1593.757483,2.692157910472973,0.34459459459459457,518.1930405405406
PNUT,586,14844.964381,25.332703721843004,0.7832764505119454,1640.9945733788397
AAVE,585,7485.007984,12.794885442735042,0.3230769230769231,1881.0458290598292
ADA,581,-28113.46197,-48.38805846815835,0.2685025817555938,1884.3999999999999
VIRTUAL,570,19544.481508,34.28856404912281,0.5491228070175439,2388.7548245614034
GRIFFAIN,562,7092.139995,12.619466183274023,0.7135231316725978,1038.5957117437722
AI16Z,540,8024.352668,14.859912348148148,0.5407407407407407,1169.6301481481482
ME,488,16011.899938,32.8112703647541,0.35040983606557374,647.9618237704918
LAYER,478,20496.4351,42.87957133891213,0.13389121338912133,2217.717259414226
IP,469,3043.288104,6.488887215351813,0.5437100213219617,1017.7801066098081
KAITO,435,-8735.140961,-20.080783818390803,0.23908045977011494,2064.1677701149424
LINK,355,4601.098394,12.960840546478872,0.4253521126760563,1250.6272957746478
IO,352,-21893.910518,-62.198609426136365,0.16477272727272727,718.6979261363637
EIGEN,330,65030.852352,197.06318894545456,0.2787878787878788,1266.0046363636363
@151,324,11583.842769,35.75260113888889,0.9166666666666666,1772.4424074074072
RUNE,322,6244.389123,19.392512804347827,0.5714285714285714,2088.044658385093
TIA,322,13021.498254,40.439435571428575,0.40683229813664595,2375.3143788819875
ETHFI,311,43929.006074,141.2508233890675,0.3987138263665595,2474.9714790996786
MAVIA,298,8257.300045,27.709060553691273,0.7885906040268457,1160.0494966442952
WIF,289,8984.600779,31.088584010380625,0.6089965397923875,2035.2089965397925
@8,276,162.720529,0.589567134057971,0.036231884057971016,162.3538043478261
OGN,258,1752.668422,6.793288457364341,0.9961240310077519,225.7660465116279
ALT,249,5870.702544,23.577118650602408,0.6506024096385542,1817.3076305220882
ZETA,245,4622.601501,18.86776122857143,0.926530612244898,1281.5044081632655
HBAR,238,1909.508064,8.023143126050421,0.44537815126050423,319.2816386554622
SEI,235,9957.777466,42.37352113191489,0.625531914893617,5388.404255319149
RENDER,234,6100.258256,26.069479726495725,0.5256410256410257,987.5646581196581
NIL,226,-3175.273635,-14.049883340707964,0.0752212389380531,2132.1602654867256
NEAR,223,13957.535979,62.589847439461884,0.9013452914798207,3645.770224215247
@51,220,-330.876576,-1.5039844363636363,0.0,83.27245454545454
CHILLGUY,215,4727.794586,21.989742260465118,0.5581395348837209,1241.3038139534883
SAND,205,2213.437927,10.797258180487805,0.3024390243902439,467.4568780487805
AVAX,202,48297.313845000004,239.09561309405942,0.5,1980.769702970297
GRASS,201,1253.272989,6.235189,0.5422885572139303,780.6742288557214
LTC,191,5626.143524,29.456248816753927,0.5863874345549738,1796.9505235602094
BADGER,190,1439.733233,7.577543331578947,0.3263157894736842,809.0323157894736
RNDR,176,13566.322558,77.08137817045454,0.8295454545454546,3521.5475
OP,173,8078.296967,46.69535819075145,0.5433526011560693,1967.783641618497
BIO,170,1298.512254,7.638307376470588,0.7705882352941177,883.2139411764706
TST,165,3357.994369,20.351481024242425,0.5575757575757576,2974.2941212121214
@123,163,0.0,0.0,0.0,2454.136993865031
ILV,159,5309.104755,33.39059594339623,0.4025157232704403,2010.776855345912
INJ,158,5919.778398,37.466951886075954,0.6392405063291139,2201.2825316455696
BNB,156,303.200972,1.9435959743589741,0.38461538461538464,2652.451602564103
ZORA,152,6816.51283,44.84547914473684,0.6381578947368421,2242.9227631578947
DYDX,151,539.164485,3.5706257284768212,0.19205298013245034,2630.685298013245
PYTH,149,1824.119272,12.242411221476509,0.348993288590604,2816.3808724832215
ARB,147,9634.58006,65.54136095238096,0.2925170068027211,2120.81231292517
BRETT,145,958.287363,6.608878365517241,0.5655172413793104,999.467448275862
S,144,-8644.845718,-60.033650819444446,0.2569444444444444,1556.8269444444443
CRV,138,-1249.722505,-9.05596018115942,0.32608695652173914,883.8392753623187
JTO,134,7408.051171,55.28396396268657,0.44029850746268656,2656.104626865672
@85,132,26506.140009,200.80409097727272,0.32575757575757575,371.4734848484849
STX,128,1583.885992,12.3741093125,0.4140625,1358.398515625
HPOS,125,1979.33753,15.83470024,0.432,594.9034399999999
PROMPT,125,2377.976177,19.023809416,0.568,1853.61208
MOVE,122,2562.894536,21.00733226229508,0.7459016393442623,1073.5947540983607
GMX,120,699.433714,5.828614283333334,0.325,1033.54125
APT,114,1749.189965,15.343771622807019,0.2807017543859649,1895.9300877192982
LDO,109,306.921971,2.8157978990825687,0.42201834862385323,323.64577981651377
MOODENG,107,16167.348348000001,151.09671353271028,0.37383177570093457,1513.6118691588786
MEME,107,4457.20042,41.65607869158879,0.4672897196261682,1625.217663551402
SUSHI,106,605.441925,5.711716273584905,0.32075471698113206,446.46150943396225
GMT,104,328.62974099999997,3.1599013557692306,0.4423076923076923,638.4364423076923
GOAT,104,8142.94114,78.29751096153846,0.6057692307692307,3616.505
@153,102,35.217067,0.34526536274509806,0.9901960784313726,1156.0090196078431
FXS,101,-121.92971200000001,-1.2072248712871287,0.31683168316831684,1119.348712871287
NTRN,99,1601.759155,16.179385404040403,0.5959595959595959,2508.811111111111
MANTA,96,1483.648906,15.454676104166666,0.46875,813.5822916666666
MKR,95,1416.279513,14.9082054,0.5263157894736842,332.99957894736843
COMP,95,2814.398024,29.625242357894738,0.6,1196.519052631579
SPX,90,5612.831099,62.36478998888889,0.7777777777777778,3215.8501111111113
FTM,89,6916.166218,77.70973278651685,0.6741573033707865,5214.665505617977
@152,88,0.599998,0.006818159090909091,1.0,679.9034090909091
VVV,85,2212.897418,26.034087270588234,0.788235294117647,2512.621882352941
TURBO,83,8540.129944,102.89313185542169,0.6506024096385542,2211.487469879518
TRX,80,670.1615039999999,8.377018799999998,0.1375,921.8072500000001
ATOM,79,88.234264,1.116889417721519,0.4430379746835443,97.03607594936709
BLUR,78,3353.129145,42.98883519230769,0.7564102564102564,2250.6310256410256
DOT,74,193.48789299999999,2.6147012567567565,0.581081081081081,2080.872837837838
UNI,61,347.766005,5.701082049180328,0.26229508196721313,728.3116393442623
BLAST,59,632.386224,10.718410576271186,0.3728813559322034,379.70593220338986
CAKE,58,1022.846751,17.63528881034483,0.3620689655172414,670.4408620689655
ZK,56,99.656693,1.7795838035714286,0.5357142857142857,62.770357142857144
IMX,53,540.2160399999999,10.192755471698112,0.5849056603773585,211.79358490566037
BIGTIME,51,1838.5441700000001,36.049885686274514,0.6274509803921569,2308.081176470588
AI,51,94.826156,1.8593363921568626,0.5490196078431373,323.35470588235296
USTC,50,346.69317,6.9338634,0.44,216.9668
FET,49,229.1654,4.6768448979591835,0.4489795918367347,2169.206530612245
STRK,48,-1517.376015,-31.6120003125,0.4375,1729.7166666666665
WCT,47,1531.72532,32.589900425531916,0.5531914893617021,1244.0189361702128
@59,46,2557.105607,55.58925232608696,0.17391304347826086,535.2723913043478
OM,43,-775.0843229999999,-18.025216813953488,0.5813953488372093,324.85930232558144
GALA,41,184.138024,4.491171317073171,0.2926829268292683,464.8195121951219
MORPHO,40,421.871013,10.546775325,0.725,1737.0965
@20,39,4.738087999999999,0.12148943589743588,0.05128205128205128,27.89589743589744
ORDI,39,99.593622,2.5536826153846155,0.48717948717948717,506.8102564102564
MATIC,38,668.931017,17.603447815789472,0.2631578947368421,6093.750789473685
YGG,37,1043.757286,28.20965637837838,0.5675675675675675,1446.854864864865
@83,36,-1087.633355,-30.212037638888887,0.0,39.6225
ARK,36,27.189288,0.755258,0.5,280.87944444444446
kSHIB,36,279.13726399999996,7.753812888888888,0.3333333333333333,2322.9769444444446
kFLOKI,35,1607.436125,45.92674642857143,0.5714285714285714,1068.0254285714286
@1,34,496.746238,14.610183470588236,0.38235294117647056,107.69676470588236
@23,34,0.0,0.0,0.0,153.49529411764706
RSR,32,165.431328,5.169729,0.6875,611.78875
SCR,32,1612.97536,50.40548,0.65625,1556.036875
INIT,31,364.5007,11.758087096774194,0.4838709677419355,1582.6409677419356
HYPER,31,874.4737,28.208829032258066,0.9354838709677419,3842.8106451612903
ZEN,30,-1475.390707,-49.17969023333333,0.26666666666666666,1272.3016666666667
TON,30,-18.09871,-0.6032903333333334,0.13333333333333333,1793.7426666666665
@125,29,370.264567,12.767743689655173,0.3103448275862069,197.63482758620688
REZ,28,163.08528,5.824474285714286,0.5,437.96250000000003
ACE,25,2760.71491,110.4285964,0.92,2890.4568
@3,23,0.462514,0.020109304347826085,0.08695652173913043,25.035217391304347
PIXEL,23,405.89459999999997,17.647591304347824,0.6956521739130435,1514.773043478261
@109,20,5414.08414,270.704207,0.7,283.533
REQ,19,4.947336,0.2603861052631579,0.6842105263157895,119.8763157894737
DYM,19,122.891343,6.467965421052632,0.3157894736842105,777.07
@14,17,0.0,0.0,0.0,49.957647058823525
@78,15,0.0,0.0,0.0,436.6913333333333
MYRO,15,53.47767,3.5651780000000004,0.8666666666666667,3148.156
POLYX,14,618.133683,44.15240592857143,0.9285714285714286,2333.535714285714
@37,13,298.859201,22.989169307692308,0.38461538461538464,142.3830769230769
AR,13,203.38219999999998,15.644784615384614,0.8461538461538461,793.0676923076923
MEW,12,32.46208,2.705173333333333,0.5833333333333334,108.77583333333332
SUPER,10,35.197902,3.5197902,0.4,129.337
BNT,10,-17.60528,-1.760528,0.2,582.841
@26,10,-0.25801799999999997,-0.025801799999999996,0.0,2.462
CANTO,10,-188.49813000000003,-18.849813000000005,0.0,2013.2280000000003
@74,9,371.633249,41.29258322222222,0.5555555555555556,42.595555555555556
@40,9,12.149683,1.3499647777777777,0.2222222222222222,45.99333333333333
@38,9,33.271993,3.6968881111111114,0.1111111111111111,59.85222222222223
@124,8,-128.603876,-16.0754845,0.0,146.635
XAI,8,1074.213807,134.276725875,0.75,8124.79
BOME,8,12.248102000000001,1.5310127500000001,0.25,164.9225
BANANA,8,-81.48518800000001,-10.185648500000001,0.0,134.815
MINA,8,198.7045,24.8380625,0.875,1530.81875
MNT,8,-21.057177,-2.632147125,0.125,167.5275
STG,7,179.54376000000002,25.649108571428574,0.7142857142857143,1532.6185714285714
IOTA,7,-2.454844,-0.350692,0.0,1785.1328571428571
@112,7,-52.114723999999995,-7.444960571428571,0.2857142857142857,108.51857142857143
@103,7,38.558036,5.508290857142858,0.5714285714285714,5.714285714285714
ALGO,7,18.36352,2.6233600000000004,0.42857142857142855,552.5157142857144
@29,6,-0.078374,-0.013062333333333334,0.0,3.955
@2,5,-0.907946,-0.1815892,0.0,199.976
@49,5,-40.712216999999995,-8.1424434,0.0,191.856
FIL,5,-35.27859,-7.055718000000001,0.0,3961.3979999999997
SHIA,5,273.568643,54.7137286,0.6,255.81199999999998
kNEIRO,5,5.319437000000001,1.0638874,0.4,176.454
ETC,5,205.04848,41.009696000000005,0.6,385.676
LOOM,5,215.057055,43.011410999999995,0.4,343.144
@147,5,-350.632694,-70.1265388,0.0,122.51200000000001
@41,5,36.73844,7.347688,0.2,7.647999999999999
@116,5,1.722949,0.3445898,0.4,2.37
@113,5,16.92622,3.385244,0.4,8.456
@53,4,67.86470700000001,16.966176750000002,0.5,17.442500000000003
@10,4,-0.063484,-0.015871,0.0,9.3275
@33,4,13.566929,3.39173225,0.5,3.795
@138,4,50.950684,12.737671,1.0,27.384999999999998
@100,4,27.627142,6.9067855,0.5,10.6675
UNIBOT,4,325.055769,81.26394225,0.5,583.3149999999999
RLB,4,75.947736,18.986934,0.5,478.7
@35,4,67.028127,16.75703175,0.5,17.075000000000003
@16,4,-0.060429,-0.01510725,0.0,8.975
@47,4,50.313458,12.5783645,0.5,12.785
@117,4,4.631689,1.15792225,0.25,3.6925
ENS,4,-7.121359999999999,-1.7803399999999998,0.0,5003.6475
@31,3,33.212273,11.070757666666667,0.3333333333333333,11.203333333333333
@12,3,0.0,0.0,0.0,2.97
@36,3,15.663073,5.221024333333333,0.3333333333333333,5.366666666666667
@24,3,-0.002936,-0.0009786666666666665,0.0,0.9033333333333333
BABY,3,98.7298,32.909933333333335,0.6666666666666666,1301.11
@9,3,-58.564889,-19.521629666666666,0.0,80.77333333333333
@46,3,0.0,0.0,0.0,0.19000000000000003
@44,3,0.0,0.0,0.0,0.25666666666666665
@13,3,-0.12379,-0.04126333333333333,0.0,17.62
@95,2,-29.438061,-14.7190305,0.0,60.39
@39,2,12.238556,6.119278,0.5,6.285
@114,2,1.309077,0.6545385,0.5,0.66
@19,2,0.0,0.0,0.0,0.405
@15,2,0.0,0.0,0.0,0.555
@34,2,0.0,0.0,0.0,0.405
@28,2,0.0,0.0,0.0,0.87
CYBER,2,191.5296,95.7648,0.5,595.855
@63,2,-20.663546,-10.331773,0.0,29.975
@93,2,15.954796,7.977398,0.5,8.165
NEIROETH,2,34.161578,17.080789,0.5,204.85000000000002
MERL,2,-3.17364,-1.58682,0.0,48.265
GAS,2,60.6139,30.30695,0.5,369.765
LISTA,2,4.46974,2.23487,0.5,997.365
MAV,2,0.0189,0.00945,0.5,10.524999999999999
PEOPLE,2,360.646005,180.3230025,0.5,680.245
@45,1,0.0,0.0,0.0,0.54
@7,1,0.0,0.0,0.0,0.03
@68,1,0.0,0.0,0.0,10.09
@61,1,0.0,0.0,0.0,0.62
@6,1,0.0,0.0,0.0,0.03
@48,1,0.0,0.0,0.0,0.68
@86,1,0.0,0.0,0.0,10.17
@11,1,0.0,0.0,0.0,0.61
@135,1,-5981.36399,-5981.36399,0.0,15.56
@21,1,0.0,0.0,0.0,0.94
@17,1,0.0,0.0,0.0,0.0
@18,1,0.0,0.0,0.0,0.46
@25,1,0.0,0.0,0.0,0.65
@30,1,0.0,0.0,0.0,0.69
@32,1,0.0,0.0,0.0,0.01
@42,1,0.0,0.0,0.0,0.74
